player,date,headline,fantasy_impact,category
Jaelyn Duncan,"Tue, Aug 26th 2:01pm EDT",The Titans waived OT Jaelyn Duncan.,Fantasy Impact: Duncan was unable to earn a spot on the Titans 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Daniel Jackson,"Tue, Aug 26th 2:00pm EDT",The Texans released WR Daniel Jackson. (Source: Jonathan M Alexander on Twitter),Fantasy Impact: Jackson was unable to earn a spot on the Texans 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
JaMycal Hasty,"Tue, Aug 26th 1:59pm EDT",The Patriots released RB JaMycal Hasty. (Source: Mark Daniels on Twitter),Fantasy Impact: Hasty signed with the Patriots earlier in August. He'll likely seek a depth role with another team.,Category: Transactions
Marcus Haynes,"Tue, Aug 26th 1:57pm EDT",The Colts waived DL Marcus Haynes. (Source: Joel A. Erickson on Twitter),Fantasy Impact: Haynes was unable to earn a spot on the Colts 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Taylor Elgersma,"Tue, Aug 26th 1:56pm EDT",The Packers waived QB Taylor Elgersma. (Source: Around the NFL on Twitter),Fantasy Impact: Elgersma was unable to earn a spot on the Packers 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Jerrick Reed II,"Tue, Aug 26th 1:54pm EDT",The Seahawks waived S Jerrick Reed II. (Source: Brady Henderson on Twitter),Fantasy Impact: Reed will be a practice squad candidate if he clears waivers. He has been a strong contributor in special teams.,Category: Transactions
Thomas Odukoya,"Tue, Aug 26th 1:53pm EDT",The Titans waived TE Thomas Odukoya. (Source: Turron Davenport on Twitter),Fantasy Impact: Odukoya was unable to earn a spot on the Titans 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Zacch Pickens,"Tue, Aug 26th 1:52pm EDT",The Bears waived DL Zacch Pickens. (Source: Matt Zenitz on Twitter),Fantasy Impact: Pickens was unable to earn a spot on the Bears 53-man roster. He made three starts last season.,Category: Transactions
Sean Clifford,"Tue, Aug 26th 1:51pm EDT",The Packers waived QB Sean Clifford. (Source: Ari Meirov on Twitter),Fantasy Impact: Clifford was unable to earn a spot on the Packers 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Jeff Wilson Jr.,"Tue, Aug 26th 1:48pm EDT",The 49ers released RB Jeff Wilson Jr. (Source: Adam Schefter on Twitter),Fantasy Impact: Wilson reunited with San Francisco earlier in August. He didn't make the 49ers 53-man roster.,Category: Transactions
Sam Hartman,"Tue, Aug 26th 1:42pm EDT",The Commanders waived QB Sam Hartman. (Source: Tom Pelissero on Twitter),Fantasy Impact: Hartman was unable to earn a depth role in the Commanders quarterback room. He'll be a practice squad candidate.,Category: Transactions
Kadeem Telfort,"Tue, Aug 26th 1:40pm EDT",The Packers released Kadeem Telfort. (Source: Ryan Wood on Twitter),Fantasy Impact: Telfort was unable to earn a spot on the Packers 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Jabbar Muhammad,"Tue, Aug 26th 1:39pm EDT",The Jaguars waived DB Jabbar Muhammad. (Source: Aaron Wilson on Twitter),Fantasy Impact: Muhammad was unable to earn a spot on the Jaguars 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Tyler Scott,"Tue, Aug 26th 1:37pm EDT",The Bears waived WR Tyler Scott. (Source: Jeremy Fowler on Twitter),Fantasy Impact: Scott was unable to earn a spot on the Bears 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Drake Dabney,"Tue, Aug 26th 1:36pm EDT",The Titans waived TE Drake Dabney. (Source: Terry McCormick on Twitter),Fantasy Impact: Dabney was unable to earn a spot on the Titans 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Roman Parodie,"Tue, Aug 26th 1:35pm EDT",The Buccaneers waived/injured DB Roman Parodie. (Source: Jenna Laine on Twitter),Fantasy Impact: Parodie had a pick-six against the Titans in the first preseason game. It is unclear how long he will be sidelined for.,"Category: Injury Updates, Transactions"
Jonah Williams,"Tue, Aug 26th 1:33pm EDT",The Saints released DT Jonah Williams. (Source: Nick Underhill on Twitter),Fantasy Impact: Williams was unable to earn a spot on the Saints 53-man roster. He'll likely seek another opportunity.,Category: Transactions
Tre Watson,"Tue, Aug 26th 1:32pm EDT",The Chiefs waived TE Tre Watson. (Source: Aaron Wilson on Twitter),Fantasy Impact: Watson was unable to earn a spot on the Chiefs 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Bralyn Lux,"Tue, Aug 26th 1:30pm EDT",The Bengals waived DB Bralyn Lux. (Source: Aaron Wilson on Twitter),Fantasy Impact: Lux will be a practice squad candidate if he clears waivers.,Category: Transactions
Deuce Vaughn,"Tue, Aug 26th 1:29pm EDT",The Cowboys waived RB Deuce Vaughn. (Source: Calvin Watkins on Twitter),Fantasy Impact: Vaughn was unable to earn a depth role in the Cowboys backfield. He'll likely seen another opportunity in a depth role.,Category: Transactions
Ihmir Smith-Marsette,"Tue, Aug 26th 1:28pm EDT",The Giants waived WR/KR Ihmir Smith-Marsette. (Source: Jordan Raanan on Twitter),Fantasy Impact: Smith-Marsette should land another opportunity in a special teams role.,Category: Transactions
Damien Martinez,"Tue, Aug 26th 12:46pm EDT",The Seahawks waived RB Damien Martinez. (Source: Brady Henderson on Twitter),Fantasy Impact: Martinez was a seventh round pick of Seattle this year. He is a practice squad candidate if he clears waivers.,Category: Transactions
KJ Hamler,"Tue, Aug 26th 12:44pm EDT",The Bills released WR KJ Hamler. (Source: Adam Schefter on Twitter),Fantasy Impact: Hamler was unable to earn a spot on the Bills 53-man roster. He'll likely seek a spot on a depth role with another team.,Category: Transactions
Ainias Smith,"Tue, Aug 26th 12:43pm EDT",The Eagles released WR Ainias Smith. (Source: Ian Rapoport on Twitter),Fantasy Impact: Smith was a fifth round pick of the Eagles last year. He should get another opportunity.,Category: Transactions
Michael Jacobson,"Tue, Aug 26th 12:33pm EDT",The Saints waived TE Michael Jacobson. (Source: Nick Underhill on Twitter),Fantasy Impact: Jacobson was unable to earn a spot on the Saints 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Leroy Watson IV,"Tue, Aug 26th 12:32pm EDT",The Vikings released OT Leroy Watson. (Source: Around the NFL on Twitter),Fantasy Impact: Watson was unable to earn a spot on the Vikings 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
De'Antre Prince,"Tue, Aug 26th 12:31pm EDT",The Jaguars released DB De'Antre Prince. (Source: Jeremy Fowler on Twitter),Fantasy Impact: Prince was unable to earn a spot on the Jaguars 53-man roster. He was a fifth round pick in 2024.,Category: Transactions
Seth Green,"Tue, Aug 26th 12:29pm EDT",The Saints released TE Seth Green. (Source: Matthew Paras on Twitter),Fantasy Impact: Green was unable to earn a spot on the Saints 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
James Burnip,"Tue, Aug 26th 12:28pm EDT",The Saints released P James Burnip. (Source: Nick Underhill on Twitter),Fantasy Impact: Burnip was unable to win the Saints punting job.,Category: Transactions
AJ Henning,"Tue, Aug 26th 12:27pm EDT",The Dolphins released wide receiver/punt returner A.J. Henning. (Source: Jeremy Fowler on Twitter),Fantasy Impact: Henning had signed with Miami as an undrafted free agent. He was unable to earn a spot on the Dolphins 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Aaron Shampklin,"Tue, Aug 26th 12:25pm EDT",The Dolphins released RB Aaron Shampklin. (Source: Ian Rapoport on Twitter),Fantasy Impact: Shampklin was unable to earn a spot on the Dolphins 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Jeremiah Martin,"Tue, Aug 26th 12:24pm EDT",The Saints waived DL Jeremiah Martin. (Source: Nick Underhill on Twitter),Fantasy Impact: Martin was unable to earn a spot on the Ssints 53-man roster. He'll likely seek another opportunity.,Category: Transactions
Moochie Dixon,"Tue, Aug 26th 12:22pm EDT",The Saints waived WR Moochie Dixon. (Source: Nick Underhill on Twitter),Fantasy Impact: Dixon was unable to earn a spot on the Saints 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Jackson Carman,"Tue, Aug 26th 12:21pm EDT",The Dolphins released OL Jackson Carman. (Source: Barry Jackson on Twitter),Fantasy Impact: Carman was unable to earn a spot on the Dolphins 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
E.J. Jenkins,"Tue, Aug 26th 12:20pm EDT",The Eagles waived TE E.J. Jenkins. (Source: Andrew DiCecco on Twitter),Fantasy Impact: Jenkins was unable to earn a spot on the Eagles 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Tanner Taula,"Tue, Aug 26th 12:18pm EDT",The Buccaneers waived TE Tanner Taula. (Source: Greg Auman on Twitter),Fantasy Impact: Taula spent the past two seasons on the Bucs practice squad. He was unable to earn a spot on the Bucs 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Nick Muse,"Tue, Aug 26th 12:14pm EDT",The Eagles waived TE Nick Muse. (Source: Around the NFL on Twitter),Fantasy Impact: Muse was unable to earn a spot on the Eagles 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Sua Opeta,"Tue, Aug 26th 12:12pm EDT",The Buccaneers released OL Sua Opeta. (Source: Greg Auman on Twitter),Fantasy Impact: Opeta missed the past year with an ACL injury. He returned to action in the Bucs preseason finale this past weekend.,Category: Transactions
Jacolby George,"Tue, Aug 26th 12:11pm EDT",The Panthers waived WR Jacolby George. (Source: Mike Kaye on Twitter),Fantasy Impact: George had signed with Carolina as an undrafted free agent. He was unable to earn a spot on the Panthers 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Alaric Jackson,"Tue, Aug 26th 12:10pm EDT",Alaric Jackson was expected to return to practice on Monday. (Source: Sarah Barshop on Twitter),Fantasy Impact: Jackson had yet to practice during training camp. He has worked his way back from dealing with blood clots.,Category: Injury Updates
Jack Henderson,"Tue, Aug 26th 12:08pm EDT",The Panthers waived DB Jack Henderson. (Source: Mike Kaye on Twitter),Fantasy Impact: Henderson was unable to earn a spot on the Panthers 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Jack Plummer,"Tue, Aug 26th 12:07pm EDT",The Panthers waived QB Jack Plummer. (Source: Tom Pelissero on Twitter),Fantasy Impact: Plummer was unable to earn a spot on the Panthers 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Xavier Guillory,"Tue, Aug 26th 12:06pm EDT",Ravens WR Xavier Guillory suffered a broken clavicle. (Source: Jeff Zrebiec on Twitter),Fantasy Impact: Guillory suffered the injury in the Ravens preseason finale. He does not have a timetable to return.,Category: Injury Updates
Robert Woods,"Tue, Aug 26th 12:02pm EDT",The Steelers released WR Robert Woods. (Source: Ian Rapoport on Twitter),Fantasy Impact: Woods was unable to earn a spot on the Steelers 53-man roster. He'll likely seek a depth role with another team.,Category: Transactions
Josh Whyle,"Tue, Aug 26th 12:01pm EDT",The Titans waived TE Josh Whyle. (Source: Tom Pelissero on Twitter),Fantasy Impact: Whyle was unable to earn a spot on the Titans 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Tyquan Thornton,"Tue, Aug 26th 12:00pm EDT",WR Tyquan Thornton has officially made the Chiefs 53-man roster. (Source: Jordan Schultz on Twitter),Fantasy Impact: Thornton spent last year on the practice squad. He earns a depth spot after an impressive showing in training camp and preseason.,Category: Transactions
Noah Igbinoghene,"Tue, Aug 26th 11:57am EDT",The Commanders have been gauging multiple teams interest in CB Noah Igbinoghene. (Source: Dianna Russini on Twitter),Fantasy Impact: Igbinoghene was a first round pick in 2020. He would offer depth in the secondary for another team.,Category: Rumors
Clyde Edwards-Helaire,"Tue, Aug 26th 11:55am EDT",The Saints are terminating the contract of RB Clyde Edwards-Helaire. (Source: Nick Underhill on Twitter),Fantasy Impact: Edwards-Helaire will become a free agent. He'll look to land a depth role with another team.,Category: Transactions
Isaiah Prince,"Tue, Aug 26th 11:47am EDT",The 49ers placed OL Isaiah Prince on injured reserve. (Source: Adam Schefter on Twitter),Fantasy Impact: Prince will open the season on IR for San Francisco.,Category: Injury Updates
Ke'Shawn Vaughn,"Tue, Aug 26th 11:46am EDT",The 49ers released RB Ke'Shawn Vaughn. (Source: Adam Schefter on Twitter),Fantasy Impact: Vaughn was unable to earn a spot on the 49ers 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Shakel Brown,"Tue, Aug 26th 11:46am EDT",The 49ers waived DL Shakel Brown. (Source: Adam Schefter on Twitter),Fantasy Impact: Brown was unable to earn a spot on the 49ers 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Jaylon Allen,"Tue, Aug 26th 11:45am EDT",The 49ers waived DL Jaylon Allen. (Source: Adam Schefter on Twitter),Fantasy Impact: Allen was unable to earn a spot on the 49ers 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Tanner Mordecai,"Tue, Aug 26th 11:44am EDT",The 49ers waived QB Tanner Mordecai. (Source: Adam Schefter on Twitter),Fantasy Impact: Mordecai was unable to earn a spot on the 49ers 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Carter Bradley,"Tue, Aug 26th 11:43am EDT",The 49ers waived QB Carter Bradley. (Source: Adam Schefter on Twitter),Fantasy Impact: Bradley was unable to earn a spot on the 49ers 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Chidobe Awuzie,"Tue, Aug 26th 11:41am EDT",Ravens coach John Harbaugh said he expects Chidobe Awuzie to return to practice next week. (Source: Jamison Hensley on Twitter),Fantasy Impact: Awuzie had been absent from practice during training camp. He should have enough time to be ready for the season opener against the Bills.,Category: Injury Updates
Jaire Alexander,"Tue, Aug 26th 11:39am EDT",Ravens coach John Harbaugh said he expects Jaire Alexander to return to practice next week. (Source: Jamison Hensley on Twitter),Fantasy Impact: Alexander did not practice last week due to an undisclosed injury. He should still be good to go for the season opener against the Bills.,Category: Injury Updates
Patrick Ricard,"Tue, Aug 26th 11:38am EDT",Ravens coach John Harbaugh said he expects Patrick Ricard to return to practice next week. (Source: Jamison Hensley on Twitter),Fantasy Impact: Ricard was not practicing last week due to a soft tissue injury. He should be on track to be ready for the start of the season.,Category: Injury Updates
Easton Stick,"Tue, Aug 26th 11:34am EDT",The Falcons waived QB Easton Stick. (Source: Mike Garafolo on Twitter),Fantasy Impact: Stick was drawing some interest from the Saints. He could land with them if he clears waivers.,Category: Transactions
Carson Steele,"Tue, Aug 26th 11:33am EDT",The Chiefs released RB Carson Steele. (Source: Ari Meirov on Twitter),Fantasy Impact: Steele was unable to earn a spot on the Chiefs 53-man roster. He'll likely look to land another opportunity in a depth role.,Category: Transactions
Mecole Hardman Jr.,"Tue, Aug 26th 11:31am EDT",The Packers released WR Mecole Hardman Jr. (Source: Jordan Schultz on Twitter),Fantasy Impact: Hardman signed a deal with Green Bay in March. He'll likely look to land a depth role with another team.,Category: Transactions
