original sort,content,contains date,len,Type,Group ID
81,The Seahawks released veteran long-snapper Zach Triner. (Source: Brady Henderson on Twitter),#VALUE!,92,Headline / Summary,14
82,Fantasy Impact: Triner signed with the Seahawks earlier in August. He was unable to make the team's 53-man roster.,#VALUE!,,Fantasy Impact,14
83,Category: Transactions,#VALUE!,,Category,14
84,Casey Rogers,#VALUE!,12,Player name,15
85,Casey Rogers released by Bills,#VALUE!,30,Headline / Summary,15
86,"Tue, Aug 26th 4:17pm EDT",21,,Date,15
87,The Bills released DT Casey Rogers. (Source: Adam Schefter on Twitter),#VALUE!,70,Headline / Summary,15
88,Fantasy Impact: Rogers was unable to make the Bills 53-man roster. He'll likely seek another opportunity.,#VALUE!,,Fantasy Impact,15
89,Category: Transactions,#VALUE!,,Category,15
90,Hunter Renfrow,#VALUE!,14,Player name,16
91,Hunter Renfrow released by Panthers,#VALUE!,35,Headline / Summary,16
92,"Tue, Aug 26th 4:17pm EDT",21,,Date,16
93,Hunter Renfrow has been released by the Carolina Panthers. (Source: Tom Pelissero on Twitter),#VALUE!,93,Headline / Summary,16
94,"Fantasy Impact: Renfrow seemed to have a real chance to make Carolina's active roster to start the season, but they released him as part of their roster cut downs on Tuesday. He could land somewhere else before the start of the season, but fantasy managers shouldn't have high hopes for his outlook for the season.",#VALUE!,,Fantasy Impact,16
95,Category: Transactions,#VALUE!,,Category,16
96,Jakob Johnson,#VALUE!,13,Player name,17
97,Jakob Johnson released by Texans,#VALUE!,32,Headline / Summary,17
98,"Tue, Aug 26th 4:15pm EDT",21,,Date,17
99,The Texans released fullback Jakob Johnson. (Source: Adam Schefter on Twitter),#VALUE!,78,Headline / Summary,17
100,Fantasy Impact: Johnson was unable to make the Texans 53-man roster. He'll seek another opportunity with a team looking for a fullback.,#VALUE!,,Fantasy Impact,17
101,Category: Transactions,#VALUE!,,Category,17
102,Corey Ballentine,#VALUE!,16,Player name,18
103,Corey Ballentine released by Packers,#VALUE!,36,Headline / Summary,18
104,"Tue, Aug 26th 4:14pm EDT",21,,Date,18
105,The Packers released CB Corey Ballentine. (Source: Rob Demovsky on Twitter),#VALUE!,75,Headline / Summary,18
106,Fantasy Impact: Ballentine was unable to make the Packers 53-man roster. He'll seek an opportunity on a practice squad.,#VALUE!,,Fantasy Impact,18
107,Category: Transactions,#VALUE!,,Category,18
108,Israel Mukuamu,#VALUE!,14,Player name,19
109,Israel Mukuamu released by Cowboys,#VALUE!,34,Headline / Summary,19
110,"Tue, Aug 26th 4:12pm EDT",21,,Date,19
111,The Cowboys released DB Israel Mukuamu. (Source: Todd Archer on Twitter),#VALUE!,72,Headline / Summary,19
112,Fantasy Impact: Mukuamu was unable to make the Cowboys 53-man roster. He has appeared in 33 games across the past four seasons.,#VALUE!,,Fantasy Impact,19
113,Category: Transactions,#VALUE!,,Category,19
114,Najee Harris,#VALUE!,12,Player name,20
115,Najee Harris (eye) starting season on active roster,#VALUE!,51,Headline / Summary,20
116,"Tue, Aug 26th 4:12pm EDT",21,,Date,20
117,Najee Harris (eye) will start the season on Los Angeles' active roster. (Source: Ian Rapoport on Twitter),#VALUE!,105,Headline / Summary,20
118,"Fantasy Impact: Harris has been sidelined for all of the preseason so far due to an eye injury that he suffered earlier in the summer. He's going to be on the active roster to start the season, however, which is a positive sign that he may be back sooner rather than later. Whenever he's available to play, his presence will hurt the upside of rookie Omarion Hampton.",#VALUE!,,Fantasy Impact,20
119,Category: Injury Updates,#VALUE!,,Category,20
120,Isaiah Foskey,#VALUE!,13,Player name,21
121,Isaiah Foskey waived by Saints,#VALUE!,30,Headline / Summary,21
122,"Tue, Aug 26th 4:10pm EDT",21,,Date,21
123,The Saints waived DE Isaiah Foskey. (Source: Ari Meirov on Twitter),#VALUE!,67,Headline / Summary,21
124,Fantasy Impact: Foskey was unable to make the Saints 53-man roster. He'll seek an opportunity on a practice squad.,#VALUE!,,Fantasy Impact,21
125,Category: Transactions,#VALUE!,,Category,21
126,Boogie Basham Jr.,#VALUE!,17,Player name,22
127,Boogie Basham Jr. released by Panthers,#VALUE!,38,Headline / Summary,22
128,"Tue, Aug 26th 4:09pm EDT",21,,Date,22
129,The Panthers released EDGE Boogie Basham Jr. (Source: Jeremy Fowler on Twitter),#VALUE!,79,Headline / Summary,22
130,Fantasy Impact: Basham was unable to make the Panthers 53-man roster. He'll likely seek another opportunity.,#VALUE!,,Fantasy Impact,22
131,Category: Transactions,#VALUE!,,Category,22
132,Rivaldo Fairweather,#VALUE!,19,Player name,23
133,Rivaldo Fairweather waived by Cowboys,#VALUE!,37,Headline / Summary,23
134,"Tue, Aug 26th 4:07pm EDT",21,,Date,23
135,The Cowboys waived TE Rivaldo Fairweather. (Source: Joseph Hoyt on Twitter),#VALUE!,75,Headline / Summary,23
136,Fantasy Impact: Fairweather was unable to make the Cowboys 53-man roster. He'll seek an opportunity on a practice squad.,#VALUE!,,Fantasy Impact,23
137,Category: Transactions,#VALUE!,,Category,23
138,Bobby Price,#VALUE!,11,Player name,24
139,Bobby Price released by Commanders,#VALUE!,34,Headline / Summary,24
140,"Tue, Aug 26th 4:06pm EDT",21,,Date,24
141,The Commanders released DB Bobby Price. (Source: Nicki Jhabvala on Twitter),#VALUE!,75,Headline / Summary,24
142,Fantasy Impact: Price was unable to make the Commanders 53-man roster. He'll likely seek another opportunity.,#VALUE!,,Fantasy Impact,24
143,Category: Transactions,#VALUE!,,Category,24
144,Damarion Williams,#VALUE!,17,Player name,25
145,Damarion Williams released by Seahawks,#VALUE!,38,Headline / Summary,25
146,"Tue, Aug 26th 4:04pm EDT",21,,Date,25
147,The Seahawks released CB Damarion Williams. (Source: Matt Zenitz on Twitter),#VALUE!,76,Headline / Summary,25
148,Fantasy Impact: Williams was unable to make the Seahawks 53-man roster. He'll seek an opportunity on a practice squad.,#VALUE!,,Fantasy Impact,25
149,Category: Transactions,#VALUE!,,Category,25
150,Chad Muma,#VALUE!,9,Player name,26
151,Chad Muma released by Jaguars,#VALUE!,29,Headline / Summary,26
152,"Tue, Aug 26th 4:03pm EDT",21,,Date,26
153,The Jaguars released LB Chad Muma. (Source: Ian Rapoport on Twitter),#VALUE!,68,Headline / Summary,26
154,Fantasy Impact: Muma was unable to make the Jaguars 53-man roster. He should get claimed off waivers.,#VALUE!,,Fantasy Impact,26
155,Category: Transactions,#VALUE!,,Category,26
156,Marcus Epps,#VALUE!,11,Player name,27
157,Marcus Epps released by Patriots,#VALUE!,32,Headline / Summary,27
158,"Tue, Aug 26th 4:02pm EDT",21,,Date,27
159,The Patriots released veteran safety Marcus Epps. (Source: Tom Pelissero on Twitter),#VALUE!,84,Headline / Summary,27
160,Fantasy Impact: Epps signed a deal with New England in free agency. He should be able to find another opportunity.,#VALUE!,,Fantasy Impact,27
161,Category: Transactions,#VALUE!,,Category,27
162,Traeshon Holden,#VALUE!,15,Player name,28
163,Traeshon Holden waived by Cowboys,#VALUE!,33,Headline / Summary,28
164,"Tue, Aug 26th 4:00pm EDT",21,,Date,28
165,The Cowboys waived WR Traeshon Holden. (Source: Jordan Schultz on Twitter),#VALUE!,74,Headline / Summary,28
166,Fantasy Impact: Holden signed with Dallas as an undrafted free agent. He was unable to make the Cowboys 53-man roster. He could draw some interest on waivers.,#VALUE!,,Fantasy Impact,28
167,Category: Transactions,#VALUE!,,Category,28
168,Rico Payton,#VALUE!,11,Player name,29
169,Rico Payton waived by Saints,#VALUE!,28,Headline / Summary,29
170,"Tue, Aug 26th 3:59pm EDT",21,,Date,29
171,The Saints waived DB Rico Payton. (Source: Nick Underhill on Twitter),#VALUE!,69,Headline / Summary,29
172,Fantasy Impact: Payton was unable to make the Saints 53-man roster. He'll seek an opportunity on a practice squad.,#VALUE!,,Fantasy Impact,29
173,Category: Transactions,#VALUE!,,Category,29
174,Marquez Valdes-Scantling,#VALUE!,24,Player name,30
175,Marquez Valdes-Scantling released by Seahawks,#VALUE!,45,Headline / Summary,30
176,"Tue, Aug 26th 3:51pm EDT",21,,Date,30
177,The Seahawks released WR Marquez Valdes-Scantling. (Source: Jeremy Fowler on Twitter),#VALUE!,85,Headline / Summary,30
178,Fantasy Impact: Valdes-Scantling signed a one-year deal with Seattle in free agency. He'll look to land a depth role with another team.,#VALUE!,,Fantasy Impact,30
179,Category: Transactions,#VALUE!,,Category,30
180,Dustin Hopkins,#VALUE!,14,Player name,31
181,Dustin Hopkins released by Browns,#VALUE!,33,Headline / Summary,31
182,"Tue, Aug 26th 3:49pm EDT",21,,Date,31
183,The Browns released K Dustin Hopkins. (Source: Adam Schefter on Twitter),#VALUE!,72,Headline / Summary,31
184,Fantasy Impact: Hopkins will likely seek another opportunity.,#VALUE!,,Fantasy Impact,31
185,Category: Transactions,#VALUE!,,Category,31
186,Spencer Rattler,#VALUE!,15,Player name,32
187,Spencer Rattler named Saints starter for Week 1,#VALUE!,47,Headline / Summary,32
188,"Tue, Aug 26th 2:53pm EDT",21,,Date,32
189,Spencer Rattler has been named the Saints Week 1 starter against the Arizona Cardinals. (Source: New Orleans Saints on X),#VALUE!,121,Headline / Summary,32
190,"Fantasy Impact: Finally, the Saints QB battle has a winner, at least for now. Rattler and rookie Tyler Shough have been contending for the starting job all offseason, and Rattler has won out. It’s tough to project how long he will maintain the starting job, but with Shough showing slow progress at the age of 26, it’s likely that Rattler might have a slightly longer leash than would be expected. He doesn’t project a ton of upside, but he could put up decent streaming numbers in fantasy with the team projected to be behind quite often.",#VALUE!,,Fantasy Impact,32
191,Levelle Bailey,#VALUE!,14,Player name,33
192,Levelle Bailey waived by Broncos,#VALUE!,32,Headline / Summary,33
193,"Tue, Aug 26th 2:40pm EDT",21,,Date,33
194,The Broncos waived LB Levelle Bailey. (Source: Luca Evans on Twitter),#VALUE!,69,Headline / Summary,33
195,Fantasy Impact: Bailey was unable to earn a spot on the Broncos 53-man roster. He'll likely seek a spot on a practice squad.,#VALUE!,,Fantasy Impact,33
196,Category: Transactions,#VALUE!,,Category,33
197,Edefuan Ulofoshio,#VALUE!,17,Player name,34
198,Edefuan Ulofoshio released by Bills,#VALUE!,35,Headline / Summary,34
199,"Tue, Aug 26th 2:39pm EDT",21,,Date,34
200,The Bills released LB Edefuan Ulofoshio. (Source: Jeremy Fowler on Twitter),#VALUE!,75,Headline / Summary,34
201,Fantasy Impact: Ulofoshio was a fifth round pick just last year. He recorded six tackles across four games.,#VALUE!,,Fantasy Impact,34
202,Category: Transactions,#VALUE!,,Category,34
203,Eku Leota,#VALUE!,9,Player name,35
204,Eku Leota released by Steelers,#VALUE!,30,Headline / Summary,35
205,"Tue, Aug 26th 2:38pm EDT",21,,Date,35
206,The Steelers released LB Eku Leota. (Source: Brooke Pryor on Twitter),#VALUE!,69,Headline / Summary,35
207,Fantasy Impact: Leota was unable to earn a spot on the Steelers 53-man roster. He'll likely seek a spot on a practice squad.,#VALUE!,,Fantasy Impact,35
208,Category: Transactions,#VALUE!,,Category,35
209,Simi Fehoko,#VALUE!,11,Player name,36
210,Simi Fehoko released by Cardinals,#VALUE!,33,Headline / Summary,36
211,"Tue, Aug 26th 2:36pm EDT",21,,Date,36
212,The Cardinals released WR Simi Fehoko. (Source: Tyler Drake on Twitter),#VALUE!,71,Headline / Summary,36
213,Fantasy Impact: Fehoko was unable to earn a spot on the Cardinals 53-man roster. He'll likely seek a spot on a practice squad.,#VALUE!,,Fantasy Impact,36
214,Category: Transactions,#VALUE!,,Category,36
215,Marcellus Johnson,#VALUE!,17,Player name,37
216,Marcellus Johnson waived by Colts,#VALUE!,33,Headline / Summary,37
217,"Tue, Aug 26th 2:35pm EDT",21,,Date,37
218,The Colts waived T Marcellus Johnson. (Source: Joel A. Erickson on Twitter),#VALUE!,75,Headline / Summary,37
219,Fantasy Impact: Johnson was unable to earn a spot on the Colts 53-man roster. He'll likely seek a spot on a practice squad.,#VALUE!,,Fantasy Impact,37
220,Category: Transactions,#VALUE!,,Category,37
221,Shane Lemieux,#VALUE!,13,Player name,38
222,Shane Lemieux released by Saints,#VALUE!,32,Headline / Summary,38
223,"Tue, Aug 26th 2:34pm EDT",21,,Date,38
224,The Saints released OL Shane Lemieux. (Source: Nick Underhill on Twitter),#VALUE!,73,Headline / Summary,38
225,Fantasy Impact: Lemieux was unable to earn a spot on the Saints 53-man roster. He'll likely seek a spot on a practice squad.,#VALUE!,,Fantasy Impact,38
226,Category: Transactions,#VALUE!,,Category,38
227,Bryan Hudson,#VALUE!,12,Player name,39
228,Bryan Hudson released by Giants,#VALUE!,31,Headline / Summary,39
229,"Tue, Aug 26th 2:32pm EDT",21,,Date,39
230,The Giants released OL Bryan Hudson. (Source: Jordan Raanan on Twitter),#VALUE!,71,Headline / Summary,39
231,Fantasy Impact: Hudson was unable to earn a spot on the Giants 53-man roster. He'll likely seek a spot on a practice squad.,#VALUE!,,Fantasy Impact,39
232,Category: Transactions,#VALUE!,,Category,39
233,Jordan Turner,#VALUE!,13,Player name,40
234,Jordan Turner released by Broncos,#VALUE!,33,Headline / Summary,40
235,"Tue, Aug 26th 2:30pm EDT",21,,Date,40
236,The Broncos released LB Jordan Turner. (Source: Zac Stevens on Twitter),#VALUE!,71,Headline / Summary,40
237,Fantasy Impact: Turner was unable to earn a spot on the Broncos 53-man roster. He'll likely seek a spot on a practice squad.,#VALUE!,,Fantasy Impact,40
238,Category: Transactions,#VALUE!,,Category,40
239,Garret Wallow,#VALUE!,13,Player name,41
240,Garret Wallow released by Broncos,#VALUE!,33,Headline / Summary,41
241,"Tue, Aug 26th 2:25pm EDT",21,,Date,41
242,The Broncos released WR Garret Wallow. (Source: Zac Stevens on Twitter),#VALUE!,71,Headline / Summary,41
243,Fantasy Impact: Wallow was unable to earn a spot on the Broncos 53-man roster. He'll likely seek a spot on a practice squad.,#VALUE!,,Fantasy Impact,41
244,Category: Transactions,#VALUE!,,Category,41
245,Saahdiq Charles,#VALUE!,15,Player name,42
246,Saahdiq Charles released by Cowboys,#VALUE!,35,Headline / Summary,42
247,"Tue, Aug 26th 2:24pm EDT",21,,Date,42
248,The Cowboys released veteran OL Saahdiq Charles. (Source: Todd Archer on Twitter),#VALUE!,81,Headline / Summary,42
249,Fantasy Impact: Charles came out of retirement this offseason. He could be a practice squad candidate.,#VALUE!,,Fantasy Impact,42
250,Category: Transactions,#VALUE!,,Category,42
251,Keleki Latu,#VALUE!,11,Player name,43
252,Keleki Latu waived by Bills,#VALUE!,27,Headline / Summary,43
253,"Tue, Aug 26th 2:23pm EDT",21,,Date,43
254,The Bills waived TE Keleki Latu. (Source: Ryan Talbot on Twitter),#VALUE!,65,Headline / Summary,43
255,Fantasy Impact: Latu had signed with Buffalo as an undrafted free agent. He was unable to earn a spot on the Bills 53-man roster. He'll likely seek a spot on a practice squad.,#VALUE!,,Fantasy Impact,43
256,Category: Transactions,#VALUE!,,Category,43
257,Clelin Ferrell,#VALUE!,14,Player name,44
258,Clelin Ferrell released by Commanders,#VALUE!,37,Headline / Summary,44
259,"Tue, Aug 26th 2:21pm EDT",21,,Date,44
260,The Commanders released DE Clelin Ferrell. (Source: Nicki Jhabvala on Twitter),#VALUE!,78,Headline / Summary,44
261,Fantasy Impact: Ferrell was unable to make the Commanders 53-man roster. He'll likely seek another depth opportunity.,#VALUE!,,Fantasy Impact,44
262,Category: Transactions,#VALUE!,,Category,44
263,Easton Kilty,#VALUE!,12,Player name,45
264,Easton Kilty waived by Saints,#VALUE!,29,Headline / Summary,45
265,"Tue, Aug 26th 2:20pm EDT",21,,Date,45
266,The Saints waived OL Easton Kilty. (Source: Nick Underhill on Twitter),#VALUE!,70,Headline / Summary,45
267,Fantasy Impact: Kilty was unable to earn a spot on the Saints 53-man roster. He'll likely seek a spot on a practice squad.,#VALUE!,,Fantasy Impact,45
268,Category: Transactions,#VALUE!,,Category,45
269,Xavier Restrepo,#VALUE!,15,Player name,46
270,Xavier Restrepo waived by Titans,#VALUE!,32,Headline / Summary,46
271,"Tue, Aug 26th 2:18pm EDT",21,,Date,46
272,The Titans waived WR Xavier Restrepo. (Source: Jordan Schultz on Twitter),#VALUE!,73,Headline / Summary,46
273,Fantasy Impact: Restrepo had signed with the Titans as an undrafted free agent. He'll be a practice squad candidate if he clears waivers.,#VALUE!,,Fantasy Impact,46
274,Category: Transactions,#VALUE!,,Category,46
275,James Proche II,#VALUE!,15,Player name,47
276,James Proche II released by Titans,#VALUE!,34,Headline / Summary,47
277,"Tue, Aug 26th 2:03pm EDT",21,,Date,47
278,The Titans released WR James Proche II. (Source: Jeremy Fowler on Twitter),#VALUE!,74,Headline / Summary,47
279,Fantasy Impact: Proche had signed with Tennessee back in March. He'll seek another opportunity.,#VALUE!,,Fantasy Impact,47
280,Category: Transactions,#VALUE!,,Category,47
281,Landon Parker,#VALUE!,13,Player name,48
282,Landon Parker waived by Colts,#VALUE!,29,Headline / Summary,48
283,"Tue, Aug 26th 2:02pm EDT",21,,Date,48
284,The Colts waived WR Landon Parker. (Source: Joel A. Erickson on Twitter),#VALUE!,72,Headline / Summary,48
285,Fantasy Impact: Parker was unable to earn a spot on the Colts 53-man roster. He'll likely seek a spot on a practice squad.,#VALUE!,,Fantasy Impact,48
286,Category: Transactions,#VALUE!,,Category,48
287,Jaelyn Duncan,#VALUE!,13,Player name,49
288,Jaelyn Duncan waived by Titans,#VALUE!,30,Headline / Summary,49
289,"Tue, Aug 26th 2:01pm EDT",21,,Date,49
290,The Titans waived OT Jaelyn Duncan.,#VALUE!,35,Headline / Summary,49
291,Fantasy Impact: Duncan was unable to earn a spot on the Titans 53-man roster. He'll likely seek a spot on a practice squad.,#VALUE!,,Fantasy Impact,49
292,Category: Transactions,#VALUE!,,Category,49
293,Daniel Jackson,#VALUE!,14,Player name,50
294,Daniel Jackson released by Texans,#VALUE!,33,Headline / Summary,50
295,"Tue, Aug 26th 2:00pm EDT",21,,Date,50
296,The Texans released WR Daniel Jackson. (Source: Jonathan M Alexander on Twitter),#VALUE!,80,Headline / Summary,50
297,Fantasy Impact: Jackson was unable to earn a spot on the Texans 53-man roster. He'll likely seek a spot on a practice squad.,#VALUE!,,Fantasy Impact,50
298,Category: Transactions,#VALUE!,,Category,50
299,JaMycal Hasty,#VALUE!,13,Player name,51
300,JaMycal Hasty released by Patriots,#VALUE!,34,Headline / Summary,51
301,"Tue, Aug 26th 1:59pm EDT",21,,Date,51
302,The Patriots released RB JaMycal Hasty. (Source: Mark Daniels on Twitter),#VALUE!,73,Headline / Summary,51
303,Fantasy Impact: Hasty signed with the Patriots earlier in August. He'll likely seek a depth role with another team.,#VALUE!,,Fantasy Impact,51
304,Category: Transactions,#VALUE!,,Category,51
305,Marcus Haynes,#VALUE!,13,Player name,52
306,Marcus Haynes waived by Colts,#VALUE!,29,Headline / Summary,52
307,"Tue, Aug 26th 1:57pm EDT",21,,Date,52
308,The Colts waived DL Marcus Haynes. (Source: Joel A. Erickson on Twitter),#VALUE!,72,Headline / Summary,52
309,Fantasy Impact: Haynes was unable to earn a spot on the Colts 53-man roster. He'll likely seek a spot on a practice squad.,#VALUE!,,Fantasy Impact,52
310,Category: Transactions,#VALUE!,,Category,52
311,Taylor Elgersma,#VALUE!,15,Player name,53
312,Taylor Elgersma waived by Packers,#VALUE!,33,Headline / Summary,53
313,"Tue, Aug 26th 1:56pm EDT",21,,Date,53
314,The Packers waived QB Taylor Elgersma. (Source: Around the NFL on Twitter),#VALUE!,74,Headline / Summary,53
315,Fantasy Impact: Elgersma was unable to earn a spot on the Packers 53-man roster. He'll likely seek a spot on a practice squad.,#VALUE!,,Fantasy Impact,53
316,Category: Transactions,#VALUE!,,Category,53
317,Jerrick Reed II,#VALUE!,15,Player name,54
318,Jerrick Reed II waived by Seahawks,#VALUE!,34,Headline / Summary,54
319,"Tue, Aug 26th 1:54pm EDT",21,,Date,54
320,The Seahawks waived S Jerrick Reed II. (Source: Brady Henderson on Twitter),#VALUE!,75,Headline / Summary,54
321,Fantasy Impact: Reed will be a practice squad candidate if he clears waivers. He has been a strong contributor in special teams.,#VALUE!,,Fantasy Impact,54
322,Category: Transactions,#VALUE!,,Category,54
323,Thomas Odukoya,#VALUE!,14,Player name,55
324,Thomas Odukoya waived by Titans,#VALUE!,31,Headline / Summary,55
325,"Tue, Aug 26th 1:53pm EDT",21,,Date,55
326,The Titans waived TE Thomas Odukoya. (Source: Turron Davenport on Twitter),#VALUE!,74,Headline / Summary,55
327,Fantasy Impact: Odukoya was unable to earn a spot on the Titans 53-man roster. He'll likely seek a spot on a practice squad.,#VALUE!,,Fantasy Impact,55
